X,Y,id
1215373.25124063,764703.015200269,1
1215488.185205,766747.234665981,2
1215155.87661206,768455.467538583,3
1215147.5614602,770734.730431202,4
1215275.10934421,772630.059913777,5
1215178.80234962,774554.702523891,6
1217288.0390376,764670.500952412,7
1217329.63673373,766780.997084296,8
1217462.4049443,768648.555830325,9
1217422.44026841,770748.2784406,10
1217205.05632387,772608.358888701,11
1217500.2429538,774526.191079665,12
1219444.66356709,764408.459154635,13
1219274.31743948,766719.605676198,14
1219151.81460385,768471.906515256,15
1219451.22012396,770755.929585517,16
1219423.69004912,772516.394642131,17
1219488.42245306,774668.138509709,18
1221266.59043494,764542.791232919,19
1221510.98755937,766492.905234884,20
1221450.87945765,768749.930281917,21
1221285.12694017,770657.801040214,22
1221505.58485692,772554.851759736,23
1221203.6236426,774602.356998511,24
1223197.49346409,764619.85218769,25
1223169.50878584,766709.926471028,26
1223489.56839954,768515.650400943,27
1223292.87769305,770443.349181644,28
1223406.90348221,772445.647378822,29
1223193.1784981,774646.362011591,30
1225314.19319629,764727.862086755,31
1225155.47498825,766464.569106511,32
1225296.1242657,768430.798451619,33
1225488.00861872,770463.290510526,34
1225444.50318967,772602.436589816,35
1225503.88869401,774760.212973887,36
