X,Y,id
1214571.05133257,764637.578312286,1
1214471.77180034,765640.969411114,2
1215985.40106476,768225.096627584,3
1216179.00350295,771406.575689611,4
1215707.55166626,772473.26912644,5
1214993.55593968,775344.342768632,6
1216792.90633675,765102.298914327,7
1216787.38045462,767158.889867962,8
1216435.17520114,769482.149613724,9
1216432.56964796,771571.146445918,10
1217212.14498446,772143.489299045,11
1217053.17751462,774795.062244353,12
1220124.47094172,764658.133813146,13
1219892.46821203,767543.93853336,14
1218400.85001691,769500.849943687,15
1219554.42880552,770195.350451277,16
1218749.64683934,773079.368917307,17
1220214.12495746,774932.347232542,18
1221474.13243762,764364.046863695,19
1222155.8376478,767576.823339202,20
1221791.85179071,768209.273993426,21
1220412.93572246,770597.135272281,22
1221199.02261204,773059.333055001,23
1220743.56634001,773952.446228934,24
1223943.87462535,763974.348846292,25
1222383.17148824,766664.719613606,26
1223282.48240543,769591.545652315,27
1223693.92667883,769824.436208461,28
1224321.25491763,772079.66520559,29
1223874.53487636,774458.203857921,30
1224333.94954592,763912.502047521,31
1226117.82016598,767142.468503241,32
1225424.05675953,767722.517013371,33
1225727.48775408,770781.570292419,34
1224853.35951988,772096.763254863,35
1225307.20679397,774365.352484992,36
